brand_name,model_name,variant_name,variant_slug,variant_url,price,fuel_type,transmission,engine,mileage,power,torque,seating_capacity,airbags,body_type,data_source,source_url,scraped_at
Aston Martin,Db11,Evolution,evolution,https://www.carwale.com/aston-martin-cars/db11/evolution/,Rs. 3.11 Crore,Petrol,Automatic,"5198 cc, 12 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",11.0 kmpl,503 bhp,675 Nm,4,2,Convertible,carwale+cardekho,https://www.carwale.com/aston-martin-cars/db11/evolution/,2026-06-16 14:43:31
Aston Martin,Vanquish,V12,v12,https://www.carwale.com/aston-martin-cars/vanquish/v12/,Rs. 8.37 Crore,Petrol,Automatic,"5203 cc, 12 Cylinders In V Shape",,835 bhp,1000 Nm,2,4,Coupe,carwale+cardekho(partial),https://www.carwale.com/aston-martin-cars/vanquish/v12/,2026-06-16 14:43:36
Aston Martin,Vantage,V8,v8,https://www.carwale.com/aston-martin-cars/vantage/v8/,Rs. 3.77 Crore,Petrol,Automatic,"3982 cc, 8 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",,656 bhp,800 Nm,2,4,Coupe,carwale+cardekho(partial),https://www.carwale.com/aston-martin-cars/vantage/v8/,2026-06-16 14:43:42
Aston Martin,Dbx,Twin Turbo,twin-turbo,https://www.carwale.com/aston-martin-cars/dbx/twin-turbo/,Rs. 3.82 Crore,Petrol,Automatic,"3982 cc, 8 Cylinders In V Shape, DOHC",,542 bhp,700 Nm,5,10,SUV,carwale+cardekho(partial),https://www.carwale.com/aston-martin-cars/dbx/twin-turbo/,2026-06-16 14:43:47
Aston Martin,Dbx,707,707,https://www.carwale.com/aston-martin-cars/dbx/707/,Rs. 4.38 Crore,Petrol,Automatic,"3982 cc, 8 Cylinders In V Shape, DOHC",,697 bhp,900 Nm,5,10,SUV,carwale+cardekho(partial),https://www.carwale.com/aston-martin-cars/dbx/707/,2026-06-16 14:43:51
Aston Martin,Db12,40 Litre,40-litre,https://www.carwale.com/aston-martin-cars/db12/40-litre/,Rs. 4.34 Crore,Petrol,Automatic,"5198 cc, 8 Cylinders In V Shape, DOHC",12.75 kmpl,670 bhp,800 Nm,4,2,Coupe,carwale+cardekho,https://www.carwale.com/aston-martin-cars/db12/40-litre/,2026-06-16 14:43:56
Aston Martin,Db9,Coupe,coupe,https://www.carwale.com/aston-martin-cars/db9/coupe/,Rs. 3.45 Crore,Petrol,Automatic,"5935 cc, 12 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",,470 bhp,600 Nm,2,,Coupe,carwale+cardekho(partial),https://www.carwale.com/aston-martin-cars/db9/coupe/,2026-06-16 14:44:01
Aston Martin,Db9,Volante,volante,https://www.carwale.com/aston-martin-cars/db9/volante/,Rs. 3.65 Crore,Petrol,Automatic,"5935 cc, 12 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",,470 bhp,600 Nm,2,,Convertible,carwale+cardekho(partial),https://www.carwale.com/aston-martin-cars/db9/volante/,2026-06-16 14:44:05
Aston Martin,Dbs20072012,Coupe,coupe,https://www.carwale.com/aston-martin-cars/dbs20072012/coupe/,Rs. 2.55 Crore,Petrol,Automatic,"5935 cc, 12 Cylinders In V Shape",,,800 Nm,2,,Coupe,carwale+cardekho(partial),https://www.carwale.com/aston-martin-cars/dbs20072012/coupe/,2026-06-16 14:44:11
Aston Martin,Dbs20072012,Volante,volante,https://www.carwale.com/aston-martin-cars/dbs20072012/volante/,Rs. 2.70 Crore,Petrol,Automatic,"5935 cc, 12 Cylinders In V Shape",,,800 Nm,2,,Convertible,carwale+cardekho(partial),https://www.carwale.com/aston-martin-cars/dbs20072012/volante/,2026-06-16 14:44:15
Aston Martin,Rapide,S V12,s-v12,https://www.carwale.com/aston-martin-cars/rapide/s-v12/,Rs. 3.29 Crore,Petrol,Automatic,"5935 cc, 12 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",,552 bhp,630 Nm,4,6,Sedan,carwale+cardekho(partial),https://www.carwale.com/aston-martin-cars/rapide/s-v12/,2026-06-16 14:44:22
